TIME:       82 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       82 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       83 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       83 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       83 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       84 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       84 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       84 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       85 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       85 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       85 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       86 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       86 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       86 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       87 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (3, 6)
TIME:       87 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       87 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       88 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       88 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (4, 6)
TIME:       88 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       89 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       89 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (4, 7)
TIME:       89 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       90 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (5, 7)
TIME:       90 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       90 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       91 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       91 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       91 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       92 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       92 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       92 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       93 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       93 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       93 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       94 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       94 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       94 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       95 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       95 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       95 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       96 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       96 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       96 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       97 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       97 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       97 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       98 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       98 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       98 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       99 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (8, 7)
